date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:53	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:36:53%20GMT	https://noteshub.co.in/download.php?table=notes&id=762&file=2017/notes/Machine%20notes2017-12-15%2014:31:27.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.10f885b.delayed	(from https://noteshub.co.in/notes.php)
09:22:29	2340711/2340711	---M--	200	added ('OK')	application/pdf	etag:%225364925-23b767-56063dffc01a6%22	https://noteshub.co.in/uploads/2017/notes/Unit%2012017-12-15%2022:25:59.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Unit%2012017-12-15%2022_25_59.pdf	(from https://noteshub.co.in/notes.php)
09:22:30	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:37:30%20GMT	https://noteshub.co.in/download.php?table=notes&id=761&file=2017/notes/Synchronous%20Machine2017-12-15%2014:31:22.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.111236c.delayed	(from https://noteshub.co.in/notes.php)
09:22:56	3831234/3831234	---M--	200	added ('OK')	application/pdf	etag:%2253648f3-3a75c2-56062c2771806%22	https://noteshub.co.in/uploads/2017/notes/Applied%20Chem%20Unit%2042017-12-15%2021:06:06.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Applied%20Chem%20Unit%2042017-12-15%2021_06_06.pdf	(from https://noteshub.co.in/notes.php)
09:22:57	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:37:56%20GMT	https://noteshub.co.in/download.php?table=notes&id=760&file=2017/notes/3%20Phase%20Induction%20Motor2017-12-15%2014:28:44.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.113c7cf.delayed	(from https://noteshub.co.in/notes.php)
09:26:13	7783548/7783548	---M--	200	added ('OK')	application/pdf	etag:%225364810-76c47c-5605d358a591e%22	https://noteshub.co.in/uploads/2017/notes/3%20Phase%20Induction%20Motor2017-12-15%2014:28:44.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/3%20Phase%20Induction%20Motor2017-12-15%2014_28_44.pdf	(from https://noteshub.co.in/notes.php)
09:26:15	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:41:14%20GMT	https://noteshub.co.in/download.php?table=notes&id=759&file=2017/notes/Machine%20unit%2032017-12-15%2014:27:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.11551d3.delayed	(from https://noteshub.co.in/notes.php)
09:27:04	9918373/9918373	---M--	200	added ('OK')	application/pdf	etag:%225364860-9757a5-5605d3eee697b%22	https://noteshub.co.in/uploads/2017/notes/Synchronous%20Machine2017-12-15%2014:31:22.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Synchronous%20Machine2017-12-15%2014_31_22.pdf	(from https://noteshub.co.in/notes.php)
09:27:05	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:42:05%20GMT	https://noteshub.co.in/download.php?table=notes&id=758&file=2017/notes/EM%20Unit%2042017-12-15%2014:24:55.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1173c8d.delayed	(from https://noteshub.co.in/notes.php)
09:31:59	12120189/12120189	---M--	200	added ('OK')	application/pdf	etag:%2253648df-b8f07d-5605d31da772e%22	https://noteshub.co.in/uploads/2017/notes/Machine%20unit%2032017-12-15%2014:27:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Machine%20unit%2032017-12-15%2014_27_37.pdf	(from https://noteshub.co.in/notes.php)
09:32:01	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:47:00%20GMT	https://noteshub.co.in/download.php?table=notes&id=757&file=2017/notes/Elements%20of%20machines2017-12-15%2014:22:05.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.119672f.delayed	(from https://noteshub.co.in/notes.php)
09:33:04	2398945/2398945	---M--	200	added ('OK')	application/pdf	etag:%2253648d8-249ae1-5605d1d746917%22	https://noteshub.co.in/uploads/2017/notes/Elements%20of%20machines2017-12-15%2014:22:05.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Elements%20of%20machines2017-12-15%2014_22_05.pdf	(from https://noteshub.co.in/notes.php)
09:33:05	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:48:04%20GMT	https://noteshub.co.in/download.php?table=notes&id=756&file=2017/notes/Dc%20motor2017-12-15%2014:20:13.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.11b8520.delayed	(from https://noteshub.co.in/notes.php)
09:33:09	25283436/25283436	---M--	200	added ('OK')	application/pdf	etag:%225360d51-181cb6c-56063e9e41dcd%22	https://noteshub.co.in/uploads/2017/notes/EM%20unit%2032017-12-15%2022:28:22.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/EM%20unit%2032017-12-15%2022_28_22.pdf	(from https://noteshub.co.in/notes.php)
09:33:10	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:48:10%20GMT	https://noteshub.co.in/download.php?table=notes&id=755&file=2017/notes/Dc%20generator2017-12-15%2014:14:26.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.11d2160.delayed	(from https://noteshub.co.in/notes.php)
09:33:58	28055312/28055312	---M--	200	added ('OK')	application/pdf	etag:%22536484e-1ac1710-5605d405d5b6b%22	https://noteshub.co.in/uploads/2017/notes/Machine%20notes2017-12-15%2014:31:27.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Machine%20notes2017-12-15%2014_31_27.pdf	(from https://noteshub.co.in/notes.php)
09:33:59	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:48:59%20GMT	https://noteshub.co.in/download.php?table=notes&id=754&file=2017/notes/data-warehousing-fundamentals-by-paulraj-ponniah2017-12-15%2001:32:04.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.11f00a9.delayed	(from https://noteshub.co.in/notes.php)
09:34:12	2682642/2682642	---M--	200	added ('OK')	application/pdf	etag:%2253648be-28ef12-5605d16bb41be%22	https://noteshub.co.in/uploads/2017/notes/Dc%20motor2017-12-15%2014:20:13.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Dc%20motor2017-12-15%2014_20_13.pdf	(from https://noteshub.co.in/notes.php)
09:34:13	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:49:12%20GMT	https://noteshub.co.in/download.php?table=notes&id=753&file=2017/notes/ADBMS%20NOTES%20FULL2017-12-15%2001:25:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1214306.delayed	(from https://noteshub.co.in/notes.php)
09:34:19	2269098/2269098	---M--	200	added ('OK')	application/pdf	etag:%2253648af-229faa-5605d0231ec4f%22	https://noteshub.co.in/uploads/2017/notes/Dc%20generator2017-12-15%2014:14:26.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Dc%20generator2017-12-15%2014_14_26.pdf	(from https://noteshub.co.in/notes.php)
09:34:20	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:49:19%20GMT	https://noteshub.co.in/download.php?table=notes&id=752&file=2017/notes/radar%20unit%2042017-12-15%2001:09:15.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.12366b9.delayed	(from https://noteshub.co.in/notes.php)
09:34:40	15169027/15169027	---M--	200	added ('OK')	application/pdf	etag:%2253648db-e77603-5605d28c83450%22	https://noteshub.co.in/uploads/2017/notes/EM%20Unit%2042017-12-15%2014:24:55.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/EM%20Unit%2042017-12-15%2014_24_55.pdf	(from https://noteshub.co.in/notes.php)
09:34:41	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:49:41%20GMT	https://noteshub.co.in/download.php?table=notes&id=751&file=2017/notes/radar%20unit%2032017-12-15%2001:08:20.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1252460.delayed	(from https://noteshub.co.in/notes.php)
09:35:43	4192561/4192561	---M--	200	added ('OK')	application/pdf	etag:%225364803-3ff931-560525bd03bfb%22	https://noteshub.co.in/uploads/2017/notes/data-warehousing-fundamentals-by-paulraj-ponniah2017-12-15%2001:32:04.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/data-warehousing-fundamentals-by-paulraj-ponniah2017-12-15%2001_32_04.pdf	(from https://noteshub.co.in/notes.php)
09:35:43	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:50:43%20GMT	https://noteshub.co.in/download.php?table=notes&id=750&file=2017/notes/Radar%20Unit%2022017-12-15%2001:07:29.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1279346.delayed	(from https://noteshub.co.in/notes.php)
09:36:00	4413972/4413972	---M--	200	added ('OK')	application/pdf	etag:%225364842-435a14-560520a099198%22	https://noteshub.co.in/uploads/2017/notes/radar%20unit%2042017-12-15%2001:09:15.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/radar%20unit%2042017-12-15%2001_09_15.pdf	(from https://noteshub.co.in/notes.php)
09:36:01	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:51:00%20GMT	https://noteshub.co.in/download.php?table=notes&id=749&file=2017/notes/FOCS%202nd%20Sessional2017-12-12%2021:42:52.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.129d730.delayed	(from https://noteshub.co.in/notes.php)
09:36:07	4053269/4053269	---M--	200	added ('OK')	application/pdf	etag:%22536487b-3dd915-5605244bc1ac1%22	https://noteshub.co.in/uploads/2017/notes/ADBMS%20NOTES%20FULL2017-12-15%2001:25:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/ADBMS%20NOTES%20FULL2017-12-15%2001_25_37.pdf	(from https://noteshub.co.in/notes.php)
09:36:08	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:51:08%20GMT	https://noteshub.co.in/download.php?table=notes&id=748&file=2017/notes/Maths%20Class%20Notes2017-12-12%2021:38:35.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.12b205b.delayed	(from https://noteshub.co.in/notes.php)
09:36:30	3846691/3846691	---M--	200	added ('OK')	application/pdf	etag:%22536483f-3ab223-5605206befdb4%22	https://noteshub.co.in/uploads/2017/notes/radar%20unit%2032017-12-15%2001:08:20.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/radar%20unit%2032017-12-15%2001_08_20.pdf	(from https://noteshub.co.in/notes.php)
09:36:31	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:51:30%20GMT	https://noteshub.co.in/download.php?table=notes&id=747&file=2017/notes/FOCS%20Class%20Notes2017-12-12%2021:33:28.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.12da5a8.delayed	(from https://noteshub.co.in/notes.php)
09:39:33	6760971/6760971	---M--	200	added ('OK')	application/pdf	etag:%22536483a-672a0b-560520403d8ae%22	https://noteshub.co.in/uploads/2017/notes/Radar%20Unit%2022017-12-15%2001:07:29.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Radar%20Unit%2022017-12-15%2001_07_29.pdf	(from https://noteshub.co.in/notes.php)
09:39:34	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:54:33%20GMT	https://noteshub.co.in/download.php?table=notes&id=746&file=2017/notes/DS%20Class%20Notes-22017-12-12%2021:24:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.12f7f69.delayed	(from https://noteshub.co.in/notes.php)
09:39:43	7379042/7379042	---M--	200	added ('OK')	application/pdf	etag:%2253645e8-709862-56026ec8bab22%22	https://noteshub.co.in/uploads/2017/notes/FOCS%202nd%20Sessional2017-12-12%2021:42:52.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/FOCS%202nd%20Sessional2017-12-12%2021_42_52.pdf	(from https://noteshub.co.in/notes.php)
09:39:44	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2003:54:43%20GMT	https://noteshub.co.in/download.php?table=notes&id=745&file=2017/notes/DS%20Class%20Notes2017-12-12%2021:22:45.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1311344.delayed	(from https://noteshub.co.in/notes.php)
09:46:30	17740748/17740748	---M--	200	added ('OK')	application/pdf	etag:%2253645b3-10eb3cc-56026cb9f5bae%22	https://noteshub.co.in/uploads/2017/notes/FOCS%20Class%20Notes2017-12-12%2021:33:28.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/FOCS%20Class%20Notes2017-12-12%2021_33_28.pdf	(from https://noteshub.co.in/notes.php)
09:46:31	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:01:31%20GMT	https://noteshub.co.in/download.php?table=notes&id=744&file=2017/notes/CS%20Class%20Notes2017-12-12%2021:19:39.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.133932c.delayed	(from https://noteshub.co.in/notes.php)
09:49:44	22425546/22425546	---M--	200	added ('OK')	application/pdf	etag:%22536463d-1562fca-56026abdb804e%22	https://noteshub.co.in/uploads/2017/notes/DS%20Class%20Notes-22017-12-12%2021:24:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/DS%20Class%20Notes-22017-12-12%2021_24_37.pdf	(from https://noteshub.co.in/notes.php)
09:49:45	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:04:45%20GMT	https://noteshub.co.in/download.php?table=notes&id=743&file=2017/notes/computer%20graphics2017-12-12%2021:16:13.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.13505e1.delayed	(from https://noteshub.co.in/notes.php)
09:51:01	22425546/22425546	---M--	200	added ('OK')	application/pdf	etag:%22536463b-1562fca-56026a5830be1%22	https://noteshub.co.in/uploads/2017/notes/DS%20Class%20Notes2017-12-12%2021:22:45.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/DS%20Class%20Notes2017-12-12%2021_22_45.pdf	(from https://noteshub.co.in/notes.php)
09:51:02	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:06:02%20GMT	https://noteshub.co.in/download.php?table=notes&id=742&file=2017/notes/Circuit%20and%20Systems%203rd%20sem%20unit%2032017-12-12%2021:09:44.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.1372786.delayed	(from https://noteshub.co.in/notes.php)
09:51:28	30374020/30374020	---M--	200	added ('OK')	application/pdf	etag:%2253645da-1cf7884-56026de91c8e2%22	https://noteshub.co.in/uploads/2017/notes/Maths%20Class%20Notes2017-12-12%2021:38:35.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/Maths%20Class%20Notes2017-12-12%2021_38_35.pdf	(from https://noteshub.co.in/notes.php)
09:51:28	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:06:28%20GMT	https://noteshub.co.in/download.php?table=notes&id=741&file=2017/notes/CGM%20Class%20Notes2017-12-12%2021:06:25.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.139fbed.delayed	(from https://noteshub.co.in/notes.php)
09:56:49	11080567/11080567	---M--	200	added ('OK')	application/pdf	etag:%2253645ff-a91377-560266a903463%22	https://noteshub.co.in/uploads/2017/notes/CGM%20Class%20Notes2017-12-12%2021:06:25.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/CGM%20Class%20Notes2017-12-12%2021_06_25.pdf	(from https://noteshub.co.in/notes.php)
09:56:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:11:49%20GMT	https://noteshub.co.in/download.php?table=notes&id=740&file=2017/notes/AE%20UNIT%2042017-12-12%2021:03:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.13b1944.delayed	(from https://noteshub.co.in/notes.php)
09:57:08	23948493/23948493	---M--	200	added ('OK')	application/pdf	etag:%225364636-16d6ccd-560269aaba231%22	https://noteshub.co.in/uploads/2017/notes/CS%20Class%20Notes2017-12-12%2021:19:39.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/CS%20Class%20Notes2017-12-12%2021_19_39.pdf	(from https://noteshub.co.in/notes.php)
09:57:09	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:12:08%20GMT	https://noteshub.co.in/download.php?table=notes&id=739&file=2017/notes/EIM%20Unit%2022017-12-12%2019:22:03.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.13d6bec.delayed	(from https://noteshub.co.in/notes.php)
09:59:49	6426835/6426835	---M--	200	added ('OK')	application/pdf	etag:%2253645f5-6210d3-56026601b49bc%22	https://noteshub.co.in/uploads/2017/notes/AE%20UNIT%2042017-12-12%2021:03:37.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/uploads/2017/notes/AE%20UNIT%2042017-12-12%2021_03_37.pdf	(from https://noteshub.co.in/notes.php)
09:59:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20Apr%202018%2004:14:49%20GMT	https://noteshub.co.in/download.php?table=notes&id=738&file=2017/notes/EIM%20Unit%2012017-12-12%2019:20:31.pdf	D:/xampp/htdocs/noteshub/noteshub.co.in/download.13f4e60.delayed	(from https://noteshub.co.in/notes.php)
